backend,selected_kernel,work_group_size,cl_compiler_options,matrix_dimensions,elapsed_s
   clBlas, 6,16,-cl-std=CL1.2,2048, 0.14773
myGEMM.cu, 6,16,-cl-std=CL1.2,2048, 0.00742
myGEMM.cl, 6,16,-cl-std=CL1.2,2048, 0.17991
   cuBLAS, 6,16,-cl-std=CL1.2,4096, 0.04551
   clBlas, 6,16,-cl-std=CL1.2,4096, 1.54906
myGEMM.cu, 6,16,-cl-std=CL1.2,4096, 0.06292
myGEMM.cl, 6,16,-cl-std=CL1.2,4096, 1.44248
   clBlas, 7,32,-cl-std=CL1.2,1024, 0.01820
myGEMM.cu, 7,32,-cl-std=CL1.2,1024, 0.00139
myGEMM.cl, 7,32,-cl-std=CL1.2,1024, 0.01666
   cuBLAS, 7,32,-cl-std=CL1.2,2048, 0.00578
   clBlas, 7,32,-cl-std=CL1.2,2048, 0.14626
myGEMM.cu, 7,32,-cl-std=CL1.2,2048, 0.00883
myGEMM.cl, 7,32,-cl-std=CL1.2,2048, 0.13641
   cuBLAS, 7,32,-cl-std=CL1.2,4096, 0.04533
   clBlas, 7,32,-cl-std=CL1.2,4096, 1.60477
myGEMM.cu, 7,32,-cl-std=CL1.2,4096, 0.06469
myGEMM.cl, 7,32,-cl-std=CL1.2,4096, 1.14149
   clBlas, 7,16,-cl-std=CL1.2,1024, 0.01858
myGEMM.cu, 7,16,-cl-std=CL1.2,1024, 0.00119
myGEMM.cl, 7,16,-cl-std=CL1.2,1024, 0.01708
   cuBLAS, 7,16,-cl-std=CL1.2,2048, 0.00497
   clBlas, 7,16,-cl-std=CL1.2,2048, 0.14670
myGEMM.cu, 7,16,-cl-std=CL1.2,2048, 0.00796
myGEMM.cl, 7,16,-cl-std=CL1.2,2048, 0.15404
   cuBLAS, 7,16,-cl-std=CL1.2,4096, 0.04633
   clBlas, 7,16,-cl-std=CL1.2,4096, 1.60250
myGEMM.cu, 7,16,-cl-std=CL1.2,4096, 0.06389
myGEMM.cl, 7,16,-cl-std=CL1.2,4096, 1.04941
   clBlas, 8,32,-cl-std=CL1.2,1024, 0.01795
myGEMM.cu, 8,32,-cl-std=CL1.2,1024, 0.00152
myGEMM.cl, 8,32,-cl-std=CL1.2,1024, 0.01728
   cuBLAS, 8,32,-cl-std=CL1.2,2048, 0.00635
   clBlas, 8,32,-cl-std=CL1.2,2048, 0.14603
myGEMM.cu, 8,32,-cl-std=CL1.2,2048, 0.00956
myGEMM.cl, 8,32,-cl-std=CL1.2,2048, 0.13378
   cuBLAS, 8,32,-cl-std=CL1.2,4096, 0.04543
   clBlas, 8,32,-cl-std=CL1.2,4096, 1.55701
myGEMM.cu, 8,32,-cl-std=CL1.2,4096, 0.06393
myGEMM.cl, 8,32,-cl-std=CL1.2,4096, 1.14574
   clBlas, 8,16,-cl-std=CL1.2,1024, 0.02340
myGEMM.cu, 8,16,-cl-std=CL1.2,1024, 0.00130
myGEMM.cl, 8,16,-cl-std=CL1.2,1024, 0.01673
   cuBLAS, 8,16,-cl-std=CL1.2,2048, 0.00540
   clBlas, 8,16,-cl-std=CL1.2,2048, 0.14715
myGEMM.cu, 8,16,-cl-std=CL1.2,2048, 0.00817
myGEMM.cl, 8,16,-cl-std=CL1.2,2048, 0.13545
   cuBLAS, 8,16,-cl-std=CL1.2,4096, 0.04608
   clBlas, 8,16,-cl-std=CL1.2,4096, 1.55341
myGEMM.cu, 8,16,-cl-std=CL1.2,4096, 0.06828
myGEMM.cl, 8,16,-cl-std=CL1.2,4096, 1.05041
   clBlas, 9,32,-cl-std=CL1.2,1024, 0.01793
myGEMM.cu, 9,32,-cl-std=CL1.2,1024, 0.00093
myGEMM.cl, 9,32,-cl-std=CL1.2,1024, 0.01903
   cuBLAS, 9,32,-cl-std=CL1.2,2048, 0.00532
   clBlas, 9,32,-cl-std=CL1.2,2048, 0.14752
myGEMM.cu, 9,32,-cl-std=CL1.2,2048, 0.00638
myGEMM.cl, 9,32,-cl-std=CL1.2,2048, 0.14954
   cuBLAS, 9,32,-cl-std=CL1.2,4096, 0.04549
   clBlas, 9,32,-cl-std=CL1.2,4096, 1.56433
myGEMM.cu, 9,32,-cl-std=CL1.2,4096, 0.05648
myGEMM.cl, 9,32,-cl-std=CL1.2,4096, 1.15489
   clBlas, 9,16,-cl-std=CL1.2,1024, 0.01980
myGEMM.cu, 9,16,-cl-std=CL1.2,1024, 0.00100
myGEMM.cl, 9,16,-cl-std=CL1.2,1024, 0.01976
   cuBLAS, 9,16,-cl-std=CL1.2,2048, 0.00542
   clBlas, 9,16,-cl-std=CL1.2,2048, 0.14514
myGEMM.cu, 9,16,-cl-std=CL1.2,2048, 0.00645
myGEMM.cl, 9,16,-cl-std=CL1.2,2048, 0.14934
   cuBLAS, 9,16,-cl-std=CL1.2,4096, 0.04652
   clBlas, 9,16,-cl-std=CL1.2,4096, 1.55034
myGEMM.cu, 9,16,-cl-std=CL1.2,4096, 0.05348
myGEMM.cl, 9,16,-cl-std=CL1.2,4096, 1.15213
   clBlas,10,32,-cl-std=CL1.2,1024, 0.01786
myGEMM.cu,10,32,-cl-std=CL1.2,1024, 0.00113
myGEMM.cl,10,32,-cl-std=CL1.2,1024, 0.02218
   cuBLAS,10,32,-cl-std=CL1.2,2048, 0.00521
   clBlas,10,32,-cl-std=CL1.2,2048, 0.14572
myGEMM.cu,10,32,-cl-std=CL1.2,2048, 0.00687
myGEMM.cl,10,32,-cl-std=CL1.2,2048, 0.17212
   cuBLAS,10,32,-cl-std=CL1.2,4096, 0.04629
   clBlas,10,32,-cl-std=CL1.2,4096, 1.56735
myGEMM.cu,10,32,-cl-std=CL1.2,4096, 0.05565
myGEMM.cl,10,32,-cl-std=CL1.2,4096, 1.34774
   clBlas,10,16,-cl-std=CL1.2,1024, 0.01809
myGEMM.cu,10,16,-cl-std=CL1.2,1024, 0.00136
myGEMM.cl,10,16,-cl-std=CL1.2,1024, 0.02232
   cuBLAS,10,16,-cl-std=CL1.2,2048, 0.00632
   clBlas,10,16,-cl-std=CL1.2,2048, 0.14519
myGEMM.cu,10,16,-cl-std=CL1.2,2048, 0.00833
myGEMM.cl,10,16,-cl-std=CL1.2,2048, 0.18522
   cuBLAS,10,16,-cl-std=CL1.2,4096, 0.04608
   clBlas,10,16,-cl-std=CL1.2,4096, 1.58419
myGEMM.cu,10,16,-cl-std=CL1.2,4096, 0.05676
myGEMM.cl,10,16,-cl-std=CL1.2,4096, 1.34057
